,from_id,option,first_departure_time,total_wait_time,number_of_transfers,final_arrival_time,total_time (min)
164,3,42,05/02/2024 10:39,6.32,3,05/02/2024 11:04,26.04
165,3,43,05/02/2024 10:34,2.23,0,05/02/2024 10:59,23.72
166,3,44,05/02/2024 10:30,1.07,0,05/02/2024 10:46,14.78
167,3,45,05/02/2024 10:39,6.42,1,05/02/2024 11:04,26.14
168,3,46,05/02/2024 10:34,2.37,2,05/02/2024 10:59,23.86
169,3,47,05/02/2024 10:39,6.55,1,05/02/2024 11:04,26.27
170,3,48,05/02/2024 10:30,1.23,2,05/02/2024 10:46,14.94
171,3,49,05/02/2024 10:34,2.58,2,05/02/2024 10:59,24.07
172,3,50,05/02/2024 10:30,1.38,0,05/02/2024 10:46,15.09
173,3,51,05/02/2024 10:39,6.73,0,05/02/2024 11:04,26.45
174,3,52,05/02/2024 10:39,6.82,0,05/02/2024 11:04,26.54
175,3,53,05/02/2024 10:30,1.57,1,05/02/2024 10:46,15.28
176,3,54,05/02/2024 10:31,1.12,0,05/02/2024 10:57,22.05
177,3,55,05/02/2024 10:39,6.93,1,05/02/2024 11:04,26.65
178,3,56,05/02/2024 10:31,1.23,0,05/02/2024 10:57,22.16
179,3,57,05/02/2024 10:30,1.75,2,05/02/2024 10:46,15.46
180,3,58,05/02/2024 10:31,3.25,1,05/02/2024 10:57,24.18
181,3,59,05/02/2024 10:39,7.15,3,05/02/2024 11:04,26.87
182,3,60,05/02/2024 10:39,4.95,0,05/02/2024 11:04,24.67
183,4,0,0,0,0,,51.1
184,4,1,05/02/2024 10:37,6.53,1,05/02/2024 11:20,45.72
185,4,2,05/02/2024 10:37,3.27,0,05/02/2024 11:20,42.46
186,4,3,05/02/2024 10:30,2.28,3,05/02/2024 11:20,49.06
187,4,4,05/02/2024 10:37,6.65,0,05/02/2024 11:20,45.84
188,4,5,05/02/2024 10:37,3.47,0,05/02/2024 11:20,42.66
189,4,6,05/02/2024 10:30,2.48,1,05/02/2024 11:20,49.26
190,4,7,05/02/2024 10:37,3.55,0,05/02/2024 11:20,42.74
191,4,8,05/02/2024 10:37,6.88,0,05/02/2024 11:20,46.07
192,4,9,05/02/2024 10:39,2.27,3,05/02/2024 11:20,39.56
193,4,10,05/02/2024 10:37,3.67,0,05/02/2024 11:20,42.86
194,4,11,05/02/2024 10:37,3.75,1,05/02/2024 11:20,42.94
195,4,12,05/02/2024 10:31,1.23,1,05/02/2024 11:20,46.3
196,4,13,05/02/2024 10:39,2.48,0,05/02/2024 11:20,39.77
197,4,14,05/02/2024 10:37,3.93,0,05/02/2024 11:20,43.12
198,4,15,05/02/2024 10:39,2.57,1,05/02/2024 11:20,39.86
199,4,16,05/02/2024 10:37,4.08,1,05/02/2024 11:20,43.27
200,4,17,05/02/2024 10:31,1.52,2,05/02/2024 11:20,46.59
201,4,18,05/02/2024 10:37,4.2,1,05/02/2024 11:20,43.39
202,4,19,05/02/2024 10:31,1.67,0,05/02/2024 11:20,46.74
203,4,20,05/02/2024 10:37,4.35,0,05/02/2024 11:20,43.54
204,4,21,05/02/2024 10:37,1.08,2,05/02/2024 11:20,40.27
205,4,22,05/02/2024 10:31,1.87,1,05/02/2024 11:20,46.94
206,4,23,05/02/2024 10:37,4.57,1,05/02/2024 11:20,43.76
207,4,24,05/02/2024 10:37,1.3,4,05/02/2024 11:20,40.49
208,4,25,05/02/2024 10:31,2.1,4,05/02/2024 11:20,47.17
209,4,26,05/02/2024 10:37,1.45,0,05/02/2024 11:20,40.64
210,4,27,05/02/2024 10:37,4.8,1,05/02/2024 11:20,43.99
211,4,28,05/02/2024 10:31,2.27,1,05/02/2024 11:20,47.34
212,4,29,05/02/2024 10:37,1.62,1,05/02/2024 11:20,40.81
213,4,30,05/02/2024 10:37,5,1,05/02/2024 11:20,44.19
214,4,31,05/02/2024 10:37,1.73,3,05/02/2024 11:20,40.92
215,4,32,05/02/2024 10:37,5.08,1,05/02/2024 11:20,44.27
216,4,33,05/02/2024 10:37,1.93,2,05/02/2024 11:20,41.12
217,4,34,05/02/2024 10:31,2.65,0,05/02/2024 11:20,47.72
218,4,35,05/02/2024 10:37,5.28,4,05/02/2024 11:20,44.47
219,4,36,05/02/2024 10:30,1.03,0,05/02/2024 11:20,47.81
220,4,37,05/02/2024 10:37,2.13,0,05/02/2024 11:20,41.32
221,4,38,05/02/2024 10:37,5.45,0,05/02/2024 11:20,44.64
222,4,39,05/02/2024 10:30,1.2,1,05/02/2024 11:20,47.98
223,4,40,05/02/2024 10:39,2.73,0,05/02/2024 11:20,40.02
224,4,41,05/02/2024 10:31,1.33,0,05/02/2024 11:20,46.4
225,4,42,05/02/2024 10:37,2.35,0,05/02/2024 11:20,41.54
226,4,43,05/02/2024 10:37,5.65,0,05/02/2024 11:20,44.84
227,4,44,05/02/2024 10:30,1.4,4,05/02/2024 11:20,48.18
228,4,45,05/02/2024 10:37,2.45,1,05/02/2024 11:20,41.64
229,4,46,05/02/2024 10:37,5.78,1,05/02/2024 11:20,44.97
230,4,47,05/02/2024 10:37,2.58,2,05/02/2024 11:20,41.77
231,4,48,05/02/2024 10:30,1.57,0,05/02/2024 11:20,48.35
232,4,49,05/02/2024 10:37,6,0,05/02/2024 11:20,45.19
233,4,50,05/02/2024 10:30,1.72,0,05/02/2024 11:20,48.5
234,4,51,05/02/2024 10:37,2.77,0,05/02/2024 11:20,41.96
235,4,52,05/02/2024 10:37,2.85,0,05/02/2024 11:20,42.04
236,4,53,05/02/2024 10:30,1.9,0,05/02/2024 11:20,48.68
237,4,54,05/02/2024 10:37,6.23,2,05/02/2024 11:20,45.42
238,4,55,05/02/2024 10:37,2.97,1,05/02/2024 11:20,42.16
239,4,56,05/02/2024 10:37,6.35,1,05/02/2024 11:20,45.54
240,4,57,05/02/2024 10:30,2.08,0,05/02/2024 11:20,48.86
241,4,58,05/02/2024 10:31,2.48,0,05/02/2024 11:20,47.55
242,4,59,05/02/2024 10:37,3.18,1,05/02/2024 11:20,42.37
243,4,60,05/02/2024 10:39,2.88,1,05/02/2024 11:20,40.17
244,5,0,0,0,0,,17.67
245,5,1,05/02/2024 10:33,2.48,2,05/02/2024 11:01,27.27
246,5,2,05/02/2024 10:37,2.13,1,05/02/2024 11:02,24.38
247,5,3,05/02/2024 10:31,3.27,1,05/02/2024 10:57,25.7
248,5,4,05/02/2024 10:33,2.6,2,05/02/2024 11:01,27.39
249,5,5,05/02/2024 10:37,2.33,1,05/02/2024 11:02,24.58
250,5,6,05/02/2024 10:31,3.47,3,05/02/2024 10:57,25.9
251,5,7,05/02/2024 10:37,2.42,2,05/02/2024 11:02,24.67
252,5,8,05/02/2024 10:33,2.83,3,05/02/2024 11:01,27.62
253,5,9,05/02/2024 10:39,6.65,0,05/02/2024 11:08,28.15
254,5,10,05/02/2024 10:37,2.53,0,05/02/2024 11:02,24.78
255,5,11,05/02/2024 10:37,2.62,0,05/02/2024 11:02,24.87
256,5,12,05/02/2024 10:33,3.07,0,05/02/2024 11:01,27.86
257,5,13,05/02/2024 10:39,6.87,1,05/02/2024 11:08,28.37
258,5,14,05/02/2024 10:37,2.8,1,05/02/2024 11:02,25.05
259,5,15,05/02/2024 10:39,6.95,0,05/02/2024 11:08,28.45
260,5,16,05/02/2024 10:37,2.95,1,05/02/2024 11:02,25.2
261,5,17,05/02/2024 10:33,3.35,0,05/02/2024 11:01,28.14
262,5,18,05/02/2024 10:37,3.07,2,05/02/2024 11:02,25.32
263,5,19,05/02/2024 10:33,3.5,0,05/02/2024 11:01,28.29
264,5,20,05/02/2024 10:37,3.22,0,05/02/2024 11:02,25.47
265,5,21,05/02/2024 10:37,6.67,0,05/02/2024 11:07,26.99
266,5,22,05/02/2024 10:31,1.13,0,05/02/2024 10:57,23.56
267,5,23,05/02/2024 10:37,3.43,0,05/02/2024 11:02,25.68
268,5,24,05/02/2024 10:37,6.88,1,05/02/2024 11:07,27.2
269,5,25,05/02/2024 10:31,1.37,4,05/02/2024 10:57,23.8
270,5,26,05/02/2024 10:37,7.03,2,05/02/2024 11:07,27.35
271,5,27,05/02/2024 10:37,3.67,1,05/02/2024 11:02,25.92
272,5,28,05/02/2024 10:31,1.53,2,05/02/2024 10:57,23.96
273,5,29,05/02/2024 10:37,7.2,0,05/02/2024 11:07,27.52
274,5,30,05/02/2024 10:37,3.87,1,05/02/2024 11:02,26.12
275,5,31,05/02/2024 10:37,7.32,0,05/02/2024 11:07,27.64
276,5,32,05/02/2024 10:33,1.03,1,05/02/2024 11:01,25.82
277,5,33,05/02/2024 10:37,7.52,0,05/02/2024 11:07,27.84
278,5,34,05/02/2024 10:31,1.92,3,05/02/2024 10:57,24.35
279,5,35,05/02/2024 10:33,1.23,3,05/02/2024 11:01,26.02
280,5,36,05/02/2024 10:31,2.02,0,05/02/2024 10:57,24.45
281,5,37,05/02/2024 10:37,7.72,1,05/02/2024 11:07,28.04
282,5,38,05/02/2024 10:33,1.4,1,05/02/2024 11:01,26.19
283,5,39,05/02/2024 10:31,2.18,1,05/02/2024 10:57,24.61
284,5,40,05/02/2024 10:39,7.12,0,05/02/2024 11:08,28.62
285,5,41,05/02/2024 10:33,3.17,2,05/02/2024 11:01,27.96
286,5,42,05/02/2024 10:37,7.93,0,05/02/2024 11:07,28.25
287,5,43,05/02/2024 10:33,1.6,0,05/02/2024 11:01,26.39
288,5,44,05/02/2024 10:31,2.38,1,05/02/2024 10:57,24.81
289,5,45,05/02/2024 10:37,8.03,1,05/02/2024 11:07,28.35
290,5,46,05/02/2024 10:33,1.73,1,05/02/2024 11:01,26.52
291,5,47,05/02/2024 10:37,8.17,0,05/02/2024 11:07,28.49
292,5,48,05/02/2024 10:31,2.55,2,05/02/2024 10:57,24.98
293,5,49,05/02/2024 10:33,1.95,1,05/02/2024 11:01,26.74
294,5,50,05/02/2024 10:31,2.7,1,05/02/2024 10:57,25.13
295,5,51,05/02/2024 10:37,1.63,1,05/02/2024 11:02,23.88
296,5,52,05/02/2024 10:37,1.72,0,05/02/2024 11:02,23.97
297,5,53,05/02/2024 10:31,2.88,4,05/02/2024 10:57,25.31
298,5,54,05/02/2024 10:33,2.18,3,05/02/2024 11:01,26.97
299,5,55,05/02/2024 10:37,1.83,0,05/02/2024 11:02,24.08
300,5,56,05/02/2024 10:33,2.3,1,05/02/2024 11:01,27.09
301,5,57,05/02/2024 10:31,3.07,3,05/02/2024 10:57,25.5
302,5,58,05/02/2024 10:31,1.75,1,05/02/2024 10:57,24.18
303,5,59,05/02/2024 10:37,2.05,2,05/02/2024 11:02,24.3
304,5,60,05/02/2024 10:39,7.27,0,05/02/2024 11:08,28.77
